PeakID	Annotation
1-14533	enhancer
1-43568	enhancer
1-124718	enhancer
1-42075	promoter
1-66995	enhancer
1-440	promoter
1-31198	enhancer
1-75105	promoter
1-35758	promoter
1-110188	enhancer
1-37278	enhancer
1-138853	enhancer
1-89244	promoter
1-24694	promoter
1-102479	promoter
1-144276	promoter
1-43098	enhancer
1-90876	enhancer
1-39662	promoter
1-119550	promoter
1-123400	enhancer
1-82876	enhancer
1-38389	enhancer
1-145225	enhancer
1-788	promoter
1-34887	enhancer
1-96643	promoter
1-14112	promoter
1-21005	enhancer
1-62339	enhancer
1-14670	enhancer
1-122983	promoter
1-125743	promoter
1-30091	promoter
1-50503	enhancer
1-134909	enhancer
1-68327	enhancer
1-34108	promoter
1-22379	promoter
1-23129	promoter
1-131414	promoter
1-74144	enhancer
1-147883	promoter
1-67214	promoter
1-94812	promoter
1-108095	promoter
1-109058	enhancer
1-86512	promoter
1-20085	promoter
1-16644	enhancer
1-24286	enhancer
1-18194	promoter
1-148585	enhancer
1-56580	enhancer
1-97826	promoter
1-1900	enhancer
1-143065	enhancer
1-17692	enhancer
1-147748	enhancer
1-100784	promoter
1-12401	enhancer
1-107075	promoter
1-144649	promoter
1-57713	promoter
1-55886	promoter
1-41900	promoter
1-139079	enhancer
1-56686	promoter
1-76910	enhancer
1-76335	promoter
1-131725	promoter
1-79279	enhancer
1-45713	promoter
1-136157	promoter
1-109923	promoter
1-87958	enhancer
1-112338	enhancer
1-131868	enhancer
1-7004	enhancer
1-37138	promoter
1-68438	promoter
1-144616	promoter
1-59632	promoter
1-102277	enhancer
1-93327	promoter
1-105977	enhancer
1-91693	enhancer
1-76593	promoter
1-102387	enhancer
1-114290	enhancer
1-91401	enhancer
1-90300	enhancer
1-20184	enhancer
1-88399	enhancer
1-61185	enhancer
1-98729	promoter
1-89089	promoter
1-18375	promoter
1-97921	promoter
1-3947	promoter
1-43619	enhancer
1-149326	enhancer
1-120266	promoter
1-130385	promoter
1-116388	promoter
1-145881	promoter
1-125844	promoter
1-127457	enhancer
1-133339	enhancer
1-4405	promoter
1-89375	promoter
1-104249	promoter
1-18299	enhancer
1-123210	promoter
1-113563	promoter
1-37929	enhancer
1-107179	promoter
1-57187	promoter
1-21747	promoter
1-83686	promoter
1-95574	promoter
1-70501	enhancer
1-32565	promoter
1-107534	promoter
1-24664	enhancer
1-1538	enhancer
1-130226	enhancer
1-127301	enhancer
1-59416	enhancer
1-113122	promoter
1-134665	enhancer
1-148680	enhancer
1-68019	promoter
1-94979	promoter
1-144624	enhancer
1-56114	promoter
1-22366	enhancer
